,SPY,SPY,SPY,SPY,SPY,SPY,SPY,QQQ,QQQ,QQQ,QQQ,QQQ,QQQ,QQQ,IWM,IWM,IWM,IWM,IWM,IWM,IWM,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,META,META,META,META,META,META,META,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,JPM,JPM,JPM,JPM,JPM,JPM,JPM
,close,high,low,trade_count,open,volume,vwap,close,high,low,trade_count,open,volume,vwap,close,high,low,trade_count,open,volume,vwap,close,high,low,trade_count,open,volume,vwap,close,high,low,trade_count,open,volume,vwap,close,high,low,trade_count,open,volume,vwap,close,high,low,trade_count,open,volume,vwap,close,high,low,trade_count,open,volume,vwap,close,high,low,trade_count,open,volume,vwap,close,high,low,trade_count,open,volume,vwap,close,high,low,trade_count,open,volume,vwap,close,high,low,trade_count,open,volume,vwap
timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-08 04:00:00+00:00,517.19,517.74,515.14,369154,515.26,42047115,516.92131,440.06,441.48,437.55,256627,437.67,24896723,439.77434,203.78,203.955,202.555,132422,202.72,18349403,203.472807,182.74,183.07,181.45,518609,182.85,45057087,182.482219,410.54,412.23,406.7132,272545,408.17,11792308,410.411552,188.0,188.43,186.385,306857,187.44,26136350,187.636834,169.38,170.15,168.735,240078,169.0,19586146,169.542427,472.6,475.58,463.002,223028,463.5,11683929,472.01888,174.72,176.06,170.15,904274,171.59,79969488,173.809672,904.12,911.94,894.2,621213,894.825,32572102,903.145014,148.95,149.73,148.7,94302,149.12,7735148,149.037034,195.65,196.65,191.0,134463,191.0,9227561,194.278179
