Date,IVV,RSP,SH,SPLG,SPY,SPYG,VOO,VOOG,VOOV
2024-01-02,473.38299560546875,157.19717407226562,12.91699504852295,55.413246154785156,471.1860046386719,63.92530822753906,432.6187744140625,266.28839111328125,168.32872009277344
2024-01-03,469.5152893066406,154.87681579589844,13.015825271606445,54.964759826660156,467.3379821777344,63.386112213134766,429.4090881347656,264.06060791015625,167.0045623779297
2024-01-04,468.06988525390625,154.6178741455078,13.065239906311035,54.78536605834961,465.8326416015625,63.026641845703125,428.0534362792969,262.6619873046875,166.82533264160156
2024-01-05,468.62811279296875,155.0660400390625,13.055356979370117,54.875064849853516,466.4706726074219,63.08655548095703,428.6016845703125,262.7618713378906,167.2534637451172
2024-01-08,475.07757568359375,156.7291259765625,12.867581367492676,55.63250732421875,473.1299743652344,64.40460205078125,434.7319641113281,268.3363952636719,168.36854553222656
2024-01-09,474.6290283203125,155.93243408203125,12.89723014831543,55.562744140625,472.4122009277344,64.58433532714844,433.6753845214844,269.09564208984375,167.47250366210938
2024-01-10,477.29052734375,156.20132446289062,12.818166732788086,55.8717041015625,475.0838928222656,65.2134017944336,436.5361633300781,271.7530212402344,167.42271423339844
2024-01-11,477.0313415527344,155.75315856933594,12.837931632995605,55.85177230834961,474.8745422363281,65.4131088256836,436.38665771484375,272.3124694824219,166.7755584716797
2024-01-12,477.4400634765625,155.4046173095703,12.837931632995605,55.891639709472656,475.2035217285156,65.49298858642578,436.58599853515625,272.71209716796875,166.7755584716797
2024-01-16,475.7853088378906,154.41871643066406,12.887347221374512,55.69231033325195,473.45892333984375,65.44306182861328,435.10076904296875,272.5921936035156,165.6405487060547
2024-01-17,473.11383056640625,153.20375061035156,12.956526756286621,55.38335037231445,470.8271179199219,65.12353515625,432.6785888671875,271.2335510253906,164.66485595703125
2024-01-18,477.1709289550781,153.99049377441406,12.84781551361084,55.8717041015625,475.01409912109375,66.05216217041016,436.52618408203125,275.0597839355469,165.10292053222656
2024-01-19,483.14190673828125,155.1755828857422,12.69957160949707,56.56935119628906,480.9356994628906,67.09062957763672,441.8690185546875,279.5453796386719,166.35739135742188
2024-01-22,484.1885986328125,155.99217224121094,12.669921875,56.67898178100586,481.95257568359375,67.24040222167969,442.8757629394531,280.00494384765625,166.7456817626953
2024-01-23,485.69378662109375,156.0718536376953,12.640273094177246,56.8284797668457,483.3581848144531,67.46007537841797,444.1915283203125,280.904052734375,167.19371032714844
2024-01-24,486.0625915527344,155.26519775390625,12.630390167236328,56.89824295043945,483.8865661621094,67.84949493408203,444.56036376953125,282.5424499511719,166.42709350585938
2024-01-25,488.7739562988281,156.82870483398438,12.571093559265137,57.227134704589844,486.51837158203125,68.01924896240234,447.06231689453125,283.1718444824219,167.98025512695312
2024-01-26,488.2655944824219,156.84861755371094,12.590858459472656,57.127471923828125,485.9002990722656,67.84949493408203,446.7931823730469,282.43255615234375,168.02008056640625
2024-01-29,492.1033935546875,157.80465698242188,12.492030143737793,57.57596206665039,489.7483215332031,68.56843566894531,450.042724609375,285.5894470214844,168.77674865722656
2024-01-30,491.73455810546875,157.83453369140625,12.511795043945312,57.52613067626953,489.3695373535156,68.25889587402344,449.7237854003906,284.4106140136719,169.27455139160156
2024-01-31,483.6602783203125,155.81292724609375,12.709453582763672,56.629150390625,481.38433837890625,66.83100891113281,442.3973388671875,278.0867919921875,167.621826171875
2024-02-01,490.079833984375,157.62539672851562,12.561209678649902,57.36666488647461,487.68475341796875,67.87945556640625,448.2185974121094,282.6323547363281,169.29446411132812
2024-02-02,495.13372802734375,157.48597717285156,12.432731628417969,57.95468521118164,492.81878662109375,69.27738189697266,452.82379150390625,288.59649658203125,168.9161376953125
2024-02-05,493.47900390625,156.131591796875,12.47226333618164,57.75535583496094,491.02435302734375,69.36725616455078,451.1690979003906,288.84625244140625,167.39285278320312
2024-02-06,494.81475830078125,157.1175079345703,12.442614555358887,57.924781799316406,492.449951171875,69.28736877441406,452.5745849609375,288.6864013671875,168.6273956298828
2024-02-07,498.83197021484375,157.7349395751953,12.343785285949707,58.39320755004883,496.55718994140625,70.21599578857422,456.2926330566406,292.5326232910156,168.9161376953125
2024-02-08,499.1609191894531,158.08349609375,12.343785285949707,58.44303512573242,496.7764892578125,70.30586242675781,456.6016540527344,292.7524108886719,169.0057373046875
2024-02-09,502.05169677734375,158.272705078125,12.274604797363281,58.742027282714844,499.6475830078125,71.07472229003906,459.1933288574219,296.0292053222656,168.9459991455078
2024-02-12,501.7825622558594,159.34823608398438,12.294370651245117,58.72209548950195,499.4282531738281,70.63536834716797,458.9839782714844,294.0411376953125,169.9714813232422
2024-02-13,495.04400634765625,156.69924926757812,12.462380409240723,57.94471740722656,492.54962158203125,69.65682220458984,452.5147705078125,290.02508544921875,167.65170288085938
2024-02-14,499.4599609375,158.13328552246094,12.353668212890625,58.47293472290039,497.0257263183594,70.48558807373047,456.8209533691406,293.5616149902344,168.73692321777344
2024-02-15,502.7494812011719,160.0951385498047,12.2844877243042,58.83172607421875,500.455078125,70.58544921875,459.9110107421875,293.9712219238281,170.92726135253906
2024-02-16,500.35711669921875,159.3681640625,12.343785285949707,58.5626335144043,497.96282958984375,70.11614227294922,457.5585632324219,291.95318603515625,170.4593505859375
2024-02-20,497.5759582519531,158.99969482421875,12.42284870147705,58.22377395629883,495.2213439941406,69.40719604492188,455.0466613769531,288.89617919921875,170.40956115722656
2024-02-21,498.0245056152344,159.318359375,12.403082847595215,58.283573150634766,495.669921875,69.27738189697266,455.5051574707031,288.5165710449219,171.21600341796875
2024-02-22,508.431396484375,160.90179443359375,12.156009674072266,59.47954559326172,505.9280700683594,71.53404235839844,465.07440185546875,297.8873596191406,172.34104919433594
2024-02-23,508.7204895019531,161.33001708984375,12.156009674072266,59.519412994384766,506.2769775390625,71.38426208496094,465.2837219238281,297.4178161621094,172.99815368652344
2024-02-26,506.80657958984375,160.68270874023438,12.205424308776855,59.330047607421875,504.4227294921875,71.21451568603516,463.5791931152344,296.5086975097656,172.04237365722656
2024-02-27,507.7037353515625,161.38975524902344,12.175775527954102,59.43967819213867,505.3598327636719,71.32435607910156,464.4364318847656,297.0282287597656,172.3709259033203
2024-02-28,507.06573486328125,161.4495086669922,12.195541381835938,59.330047607421875,504.6919250488281,71.09468841552734,463.71875,296.1590881347656,172.53021240234375
2024-02-29,508.83013916015625,162.1167449951172,12.165892601013184,59.55927276611328,506.5062561035156,71.63389587402344,465.4332275390625,298.0671691894531,172.57003784179688
2024-03-01,513.7544555664062,163.2520294189453,12.047296524047852,60.1373291015625,511.261474609375,72.53256225585938,469.9187927246094,302.09326171875,173.27691650390625
2024-03-04,513.1464233398438,163.55078125,12.076946258544922,60.067562103271484,510.71319580078125,72.23300170898438,469.360595703125,300.9044189453125,173.8444366455078
2024-03-05,507.962890625,162.80389404296875,12.195541381835938,59.46957778930664,505.6090393066406,71.06473541259766,464.6557312011719,295.9892272949219,173.3565673828125
2024-03-06,510.71417236328125,163.73004150390625,12.126360893249512,59.74863815307617,508.17108154296875,71.39424896240234,467.1178283691406,297.3978576660156,174.48162841796875
2024-03-07,515.7879638671875,165.01470947265625,12.017648696899414,60.366554260253906,513.2153930664062,72.4626693725586,471.7429504394531,301.6536865234375,175.06903076171875
2024-03-08,512.6578979492188,164.8254852294922,12.096712112426758,60.00776290893555,510.1349792480469,71.67383575439453,468.8821716308594,298.4468078613281,175.06903076171875
2024-03-11,512.40869140625,165.0346221923828,12.116477966308594,59.947967529296875,509.69635009765625,71.26444244384766,468.493408203125,296.7684631347656,175.80580139160156
2024-03-12,517.7517700195312,165.4628448486328,11.98799991607666,60.5858154296875,515.1793212890625,72.63241577148438,473.50726318359375,302.30303955078125,176.14430236816406
2024-03-13,516.9243774414062,165.54251098632812,12.00776481628418,60.50608444213867,514.371826171875,72.3228759765625,472.7895812988281,300.96435546875,176.39320373535156
2024-03-14,515.7979736328125,164.05868530273438,12.047296524047852,60.366554260253906,513.35498046875,72.42272186279297,471.7528991699219,301.36395263671875,175.28807067871094
2024-03-15,511.6012878417969,163.74000549316406,12.126360893249512,59.9379997253418,509.8299865722656,71.56399536132812,468.5033874511719,297.8973693847656,175.00929260253906
2024-03-18,515.2097778320312,164.19000244140625,12.057180404663086,60.310001373291016,512.8599853515625,72.23999786376953,471.4339599609375,300.8244934082031,175.5270233154297
2024-03-19,518.1903686523438,165.1699981689453,11.98799991607666,60.650001525878906,515.7100219726562,72.66000366210938,474.075439453125,302.54278564453125,176.36334228515625
2024-03-20,523.0050048828125,166.5800018310547,11.899999618530273,61.189998626708984,520.47998046875,73.5,478.212158203125,305.8894958496094,177.45852661132812
2024-03-21,524.6199951171875,167.72000122070312,11.859999656677246,61.41999816894531,522.2000122070312,73.56999969482422,479.8070068359375,306.3990173339844,178.4840087890625
2024-03-22,523.9199829101562,166.63999938964844,11.880000114440918,61.31999969482422,521.2100219726562,73.7300033569336,479.17999267578125,306.8299865722656,177.52999877929688
2024-03-25,522.280029296875,166.27999877929688,11.920000076293945,61.119998931884766,519.77001953125,73.44000244140625,477.94000244140625,305.8299865722656,177.25
2024-03-26,521.1799926757812,166.1199951171875,11.949999809265137,60.97999954223633,518.8099975585938,73.12999725341797,476.6000061035156,304.67999267578125,177.25
2024-03-27,525.719970703125,168.77999877929688,11.850000381469727,61.52000045776367,523.1699829101562,73.36000061035156,480.760009765625,305.4100036621094,179.89999389648438
2024-03-28,525.72998046875,169.3699951171875,11.859999656677246,61.529998779296875,523.0700073242188,73.1500015258789,480.70001220703125,304.7099914550781,180.47000122070312
2024-04-01,524.8800048828125,168.3699951171875,11.880000114440918,61.41999816894531,522.1599731445312,73.2699966430664,480.07000732421875,305.1300048828125,179.4600067138672
2024-04-02,521.4500122070312,166.9199981689453,11.970000267028809,61.029998779296875,518.8400268554688,72.76000213623047,476.92999267578125,303.1099853515625,178.41000366210938
2024-04-03,522.030029296875,167.10000610351562,11.949999809265137,61.09000015258789,519.4099731445312,73.02999877929688,477.3599853515625,303.9599914550781,178.1300048828125
2024-04-04,515.6099853515625,165.39999389648438,12.109999656677246,60.349998474121094,513.0700073242188,71.91999816894531,471.4800109863281,299.6000061035156,176.47999572753906
2024-04-05,520.989990234375,166.38999938964844,11.979999542236328,60.97999954223633,518.4299926757812,73.02999877929688,476.489990234375,304.1099853515625,177.47000122070312
2024-04-08,521.1300048828125,166.89999389648438,11.989999771118164,61.02000045776367,518.719970703125,73.0,476.67999267578125,304.1600036621094,177.67999267578125
2024-04-09,521.780029296875,167.55999755859375,11.979999542236328,61.08000183105469,519.3200073242188,73.0,477.2699890136719,303.95001220703125,178.16000366210938
2024-04-10,516.719970703125,164.7100067138672,12.09000015258789,60.47999954223633,514.1199951171875,72.5199966430664,472.6499938964844,302.1300048828125,175.75999450683594
2024-04-11,520.5900268554688,164.58999633789062,12.010000228881836,60.93000030517578,518.0,73.66000366210938,476.05999755859375,306.75,175.17999267578125
2024-04-12,513.3099975585938,161.97999572753906,12.1899995803833,60.06999969482422,510.8500061035156,72.62999725341797,469.57000732421875,302.42999267578125,172.58999633789062
2024-04-15,506.95001220703125,160.5800018310547,12.329999923706055,59.31999969482422,504.45001220703125,71.33000183105469,463.6099853515625,297.1099853515625,171.8000030517578
2024-04-16,505.9800109863281,159.69000244140625,12.369999885559082,59.220001220703125,503.5299987792969,71.3499984741211,462.7799987792969,297.0799865722656,170.83999633789062
2024-04-17,503.0400085449219,159.36000061035156,12.4399995803833,58.880001068115234,500.54998779296875,70.66000366210938,459.989990234375,294.2900085449219,170.8699951171875
2024-04-18,501.8800048828125,159.2100067138672,12.470000267028809,58.7599983215332,499.5199890136719,70.30000305175781,458.94000244140625,293.20001220703125,171.0
2024-04-19,497.5299987792969,159.80999755859375,12.59000015258789,58.2400016784668,495.1600036621094,68.70999908447266,455.1000061035156,286.239990234375,172.39999389648438
2024-04-22,502.1199951171875,161.02999877929688,12.489999771118164,58.779998779296875,499.7200012207031,69.38999938964844,459.04998779296875,288.7900085449219,173.8300018310547
2024-04-23,508.1700134277344,162.4600067138672,12.34000015258789,59.47999954223633,505.6499938964844,70.5,464.8399963378906,293.5400085449219,175.07000732421875
2024-04-24,507.9700012207031,162.69000244140625,12.329999923706055,59.459999084472656,505.4100036621094,70.4800033569336,464.5,293.6499938964844,174.99000549316406
2024-04-25,505.82000732421875,162.35000610351562,12.390000343322754,59.22999954223633,503.489990234375,70.16999816894531,462.5799865722656,292.510009765625,174.4199981689453
2024-04-26,510.7699890136719,162.42999267578125,12.279999732971191,59.790000915527344,508.260009765625,71.5199966430664,467.2099914550781,297.55999755859375,174.07000732421875
2024-04-29,512.5900268554688,163.55999755859375,12.25,60.0,510.05999755859375,71.66999816894531,468.8399963378906,298.6000061035156,175.0399932861328
2024-04-30,504.44000244140625,161.1999969482422,12.430000305175781,59.060001373291016,501.9800109863281,70.31999969482422,461.42999267578125,293.0199890136719,172.88999938964844
2024-05-01,502.8599853515625,160.64999389648438,12.489999771118164,58.84000015258789,500.3500061035156,70.04000091552734,459.92999267578125,291.3699951171875,172.38999938964844
2024-05-02,507.4599914550781,161.63999938964844,12.380000114440918,59.40999984741211,505.0299987792969,70.88999938964844,464.2200012207031,295.2099914550781,173.38999938964844
2024-05-03,513.8400268554688,162.7899932861328,12.229999542236328,60.130001068115234,511.2900085449219,72.25,469.9800109863281,300.6199951171875,174.25999450683594
2024-05-06,519.1900024414062,164.0399932861328,12.100000381469727,60.7599983215332,516.5700073242188,73.2300033569336,474.7200012207031,304.8599853515625,175.33999633789062
