Date,ADA-USD,BCH-USD,BNB-USD,BTC-USD,DOT-USD,ETH-USD,LINK-USD,LTC-USD,SOL-USD,XRP-USD
2024-01-01,0.6231099963188171,266.6159362792969,314.4082946777344,44167.33203125,8.59892463684082,2352.327880859375,15.535808563232422,74.73192596435547,109.50868225097656,0.6300820112228394
2024-01-02,0.605666995048523,256.9635009765625,312.10382080078125,44957.96875,8.41269588470459,2355.83642578125,15.165292739868164,72.98407745361328,106.61122131347656,0.6253629922866821
2024-01-03,0.5572860240936279,233.9602508544922,316.6612854003906,42848.17578125,7.641822814941406,2210.761962890625,14.150558471679688,65.30164337158203,98.59443664550781,0.5825799703598022
2024-01-04,0.5705670118331909,239.56756591796875,323.6000061035156,44179.921875,7.881475925445557,2269.0380859375,14.5540189743042,66.49139404296875,105.0775375366211,0.5882260203361511
2024-01-05,0.5412420034408569,239.58287048339844,317.4502868652344,44162.69140625,7.44556188583374,2268.647216796875,14.065112113952637,66.02114868164062,99.97879028320312,0.5764859914779663
2024-01-06,0.5231029987335205,236.0817413330078,307.79449462890625,43989.1953125,7.13883113861084,2241.624755859375,13.42838191986084,65.67607879638672,93.85771942138672,0.5685120224952698
2024-01-07,0.4941740036010742,232.1685028076172,302.8905334472656,43943.09765625,6.8958330154418945,2222.865966796875,13.140296936035156,64.2574691772461,89.2763442993164,0.5517410039901733
2024-01-08,0.5409359931945801,253.89999389648438,304.5003967285156,46970.50390625,7.477948188781738,2333.03271484375,14.156993865966797,67.80654907226562,97.79044342041016,0.5779229998588562
2024-01-09,0.5115270018577576,245.189453125,300.9761047363281,46139.73046875,7.1172099113464355,2344.8271484375,13.705975532531738,66.94928741455078,99.40918731689453,0.5666329860687256
2024-01-10,0.5666469931602478,254.23910522460938,305.0968322753906,46627.77734375,7.9710612297058105,2582.103515625,15.031819343566895,69.89013671875,102.03302001953125,0.5999889969825745
2024-01-11,0.5821790099143982,276.5281066894531,308.7015075683594,46368.5859375,8.170188903808594,2619.619140625,15.032686233520508,71.9844741821289,99.90943908691406,0.6020950078964233
2024-01-12,0.5473330020904541,259.45550537109375,296.6304626464844,42853.16796875,7.569273948669434,2524.460205078125,14.134305000305176,72.90021514892578,91.72090911865234,0.5702990293502808
2024-01-13,0.5493360161781311,254.2232208251953,302.227294921875,42842.3828125,7.612985134124756,2576.597900390625,14.364034652709961,71.98751068115234,95.73004913330078,0.575078010559082
2024-01-14,0.5259810090065002,246.0057830810547,299.05133056640625,41796.26953125,7.327098846435547,2472.2412109375,14.79709243774414,69.81559753417969,94.13314056396484,0.5762330293655396
2024-01-15,0.5281609892845154,250.4188995361328,317.5672607421875,42511.96875,7.517786979675293,2511.36376953125,15.195074081420898,69.255615234375,94.49022674560547,0.5759199857711792
2024-01-16,0.5356760025024414,251.1593017578125,315.22625732421875,43154.9453125,7.490059852600098,2587.691162109375,15.261761665344238,69.47465515136719,97.62691497802734,0.5759469866752625
2024-01-17,0.5270289778709412,244.05238342285156,309.08538818359375,42742.65234375,7.33296012878418,2528.369384765625,15.730317115783691,69.38614654541016,102.0635986328125,0.5679730176925659
2024-01-18,0.5018740296363831,237.42599487304688,313.2928771972656,41262.05859375,7.007637023925781,2467.018798828125,14.649992942810059,67.99267578125,94.2509536743164,0.5519070029258728
2024-01-19,0.503150999546051,236.43170166015625,314.3004455566406,41618.40625,6.874605178833008,2489.49853515625,16.04130744934082,71.1841812133789,93.38616943359375,0.5442559719085693
2024-01-20,0.5150049924850464,238.890869140625,316.96038818359375,41665.5859375,6.898894786834717,2469.589111328125,15.742375373840332,71.29741668701172,92.56983947753906,0.5531259775161743
2024-01-21,0.5031049847602844,236.9248504638672,318.3186950683594,41545.78515625,6.807318210601807,2453.9130859375,15.391012191772461,71.60008239746094,90.84843444824219,0.546110987663269
2024-01-22,0.4785020053386688,235.01434326171875,305.43701171875,39507.3671875,6.332924842834473,2310.826416015625,14.544947624206543,67.28827667236328,83.62281036376953,0.5267159938812256
2024-01-23,0.4767490029335022,229.54351806640625,298.4039001464844,39845.55078125,6.35443115234375,2240.68603515625,14.274681091308594,65.44943237304688,84.27450561523438,0.5177369713783264
2024-01-24,0.47629600763320923,236.37936401367188,293.0914306640625,40077.07421875,6.459842205047607,2233.561767578125,14.23513412475586,66.14016723632812,88.73200988769531,0.5179880261421204
2024-01-25,0.46647900342941284,236.7863311767578,291.9192810058594,39933.80859375,6.434463024139404,2217.710205078125,13.757712364196777,65.49899291992188,86.88921356201172,0.5136060118675232
2024-01-26,0.48529401421546936,242.0111083984375,302.3179931640625,41816.87109375,6.672458171844482,2267.19970703125,14.195534706115723,67.03406524658203,92.44236755371094,0.5321890115737915
2024-01-27,0.48632100224494934,243.7912139892578,305.8248291015625,42120.0546875,6.6702470779418945,2267.885986328125,14.34029769897461,68.08456420898438,94.16321563720703,0.5302600264549255
2024-01-28,0.4897190034389496,236.90118408203125,304.9756164550781,42035.59375,6.839127063751221,2257.208740234375,14.517561912536621,68.39750671386719,95.93798065185547,0.5240939855575562
2024-01-29,0.5252749919891357,241.2978515625,310.7080078125,43288.24609375,7.030881881713867,2317.064208984375,14.988256454467773,68.45301055908203,101.56666564941406,0.5350900292396545
2024-01-30,0.5141649842262268,237.38525390625,307.4627380371094,42952.609375,6.8419671058654785,2344.49365234375,15.467368125915527,67.51202392578125,101.47297668457031,0.5106980204582214
2024-01-31,0.49825599789619446,234.25437927246094,300.35107421875,42582.60546875,6.655735969543457,2282.54443359375,15.39860725402832,66.75304412841797,97.0287094116211,0.5031930208206177
